,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
141,6.8,--,Fatih Akin,Fatih Akin,Two Turks from Germany find each other in their homeland during summer holidays and their need for weed start a funny little adventure. A pretty smart idea that comes from a Turk solves the problem: getürkt.,12m,Getürkt
142,7.0,--,Graham Higgins,Graham Higgins,"A young man fools his parents into thinking he's a merchant banker while working as a lavatory attendant. The story of a young school leaver and his bizarre scheme to win his parents' approval. Set in the home city of Writer / Director Graham Higgins, Pride is a comic look at the grand ambitions of youth and the dour wisdom of age.",10m,Pride
143,--,--,Rafael Straga,Alberto Ferreras,,15m,Tómbola
144,--,--,Daniele FalleriWerther Germondari,Daniele FalleriWerther Germondari,"Single woman turns out to be pregnant. By whom? A young woman is the only lonely soul in a small town where everyone seems to have a partner. One day her belly starts to grow, but no one has ever seen her with a man. Five long seasons pass and she gets bigger and bigger.",12m,L'armadio
145,7.5,--,Fernando Javier León Rodríguez,Fernando Javier León Rodríguez,"Husband and wife are seated in their living room. Everything is quiet. She's knitting, he's reading the paper. Suddenly, she breaks the silence.",3m,La tarde de un matrimonio de clase media
146,7.5,--,John Curran,John Curran,"An anthromorphic tale, humans representing canines, of compulsive traits and raging desires. A gang of neutered men; fat, subdued and lazy, look out for their younger 'pup'- Rusty who is always active and mischievous.",15m,Down Rusty Down
147,7.5,--,Jamie Neese,Jamie Neese,,--,A La Cart
148,7.1,--,David L. Bertman,David L. Bertman,"When college freshman, Brinton Smith discovers a business card with the number 976-WISH inscribed in silver, he is instantly hooked up with Wish Services, an ultra modernized corporation of unionized Toothfaires, Santa's Helpers and Genies. Assigning a Genie Third Class to his case, the Corporation is unable to grant even the simplest of wishes. Brinton discovers the ... Read all",42m,976-WISH
149,6.7,--,Chris Deacon,Brigitte GallErin McMurtryDale Power,"Sue is trying to get over a break-up with Dale. She goes out to get coffee in her nightgown and meets him and his new girlfriend, Sabrina, in the convenience store. Mortified she leaves and finally accepts an invitation from a lesbian friend to go to an all-girl bar that night. She's surprised to see Sabrina there dancing with women. They begin to talk, dance, and end... Read all",15m,Twisted Sheets
150,5.8,--,Sanjin Frlan,Sanjin Frlan,,--,Children of the 80's
151,--,--,Lara Harris,David CarlsonLara Harris,,10m,9 1/2 Minutes
152,5.9,--,Chuck Jones,Stephen Fossatti,"When pirate Yosemite Sam discovers Bugs Bunny's treasure chest, the rabbit, unwilling to part with his riches, pursues Sam aboard his ship and proceeds to pester the pirate until he pleads for mercy.",7m,From Hare to Eternity
153,7.3,--,Tim Hill,Tim Hill,The Action League is up to their greatest challenge yet when a giant baby attacks the band KISS during one of their concerts.,5m,Action League Now!!: Rock-A-Big-Baby
154,6.4,--,Stephen Fossatti,Stephen Fossatti,"Sylvester's parental instincts kick in when his newly-hatched breakfast calls him ""Mama"".",9m,Father of the Bird
155,7.8,--,Robert Sarkies,Robert Sarkies,"It's the late 1950s, and the DJ of a nostalgic radio program, out-of-date in the time of the Beatles, has just been fired. On his last broadcast, he decides to play requests, and a loyal listener (according to his ratings, just about his only listener) asks for her late husband's favorite song. But when fate intervenes, the DJ has to prove just how far he'll go to mak... Read all",15m,Signing Off
156,--,--,Monica Nolan,--,,8m,World of Women
157,6.4,--,Konrad Jay,Colin Bateman,"It's Christmas, and in a Belfast toyshop, three despairing people are forced to contemplate suicide on a dangerous window ledge; a recently fired dad who has only enough money to buy his daughter a giant teddy bear, an alcoholic Santa who's fed up with kids, and the bankrupted store owner. When two security guards attempt to talk them down, they end up on the ledge as... Read all",18m,Jumpers
158,6.8,--,David Kaplan,David Kaplan,A black comedy version of the classic tale.,12m,Little Red Riding Hood
159,6.2,--,Darrell Van Citters,Stephen FossattiDarrell Van CittersDean Wellins,"Pete Puma is trying to raid the henhouse Foghorn Leghorn is guarding; Foggy decides to have some fun with Pete. He tells Pete what he really wants is a Venezuelan Racing Chicken which has unfortunately run back to Venezuela. Pete runs there and back in jig time. Next, he really wants an Irish Wrestling Chicken, which turns out to be a rope tied to a bull's tail. When ... Read all",7m,Pullet Surprise
160,7.0,--,Tom KokenBarbara LippTom Rubnitz,Tom KokenBarbara Lipp,"A special tribute to all the mothers in the world. A woman recollects her childhood memories with her mother, remembering all the questions and doubts she had when she was little, from innocent questions to more challenging ones, later on evolving to a homage to her .",4m,The Mother Show
161,7.0,--,David FineAlison Snowden,Alison SnowdenDavid Fine,"A devoted and happily-married housewife organises a surprise party on the occasion of her husband's birthday, unbeknownst to her that her dentist spouse is experiencing a sudden mid-life crisis at his office.",12m,Bob's Birthday
162,8.1,100%,Nick Park,Bob BakerNick Park,Wallace's whirlwind romance with the owner of the local wool shop puts his head in a spin; Gromit is framed for sheep-rustling in a fiendish criminal plot.,30m,A Close Shave
163,6.7,92%,Edwin Baker,Steve Monroe,A black comedy about a lapsed catholic who picks the wrong priest for Confession.,20m,The Confession
164,7.8,--,Sylvain Chomet,Sylvain ChometDavid FreedmanAlan Gilbey,"In seductive central Paris, an undernourished gendarme willing to go to great lengths to feed himself hatches a desperate, yet utterly cunning plan.",21m,La vieille dame et les pigeons
165,6.6,--,Sheryl Lee Ralph,Sheryl Lee Ralph,,13m,Secrets
166,8.3,--,Carlos García Campillo,Carlos García CampilloSalvador Vazquez Martinez,"It was just another day at work for Ramon T. and El Rey, two hitmen who worked for Don Bubu. Their job was simple: beat the heck out of Betus, who just got Don Bubu's daughter pregnant. Neither of them could have imagined what faith had in store for them.",13m,Un chorrito de sangre
167,7.3,--,Miles Hood Swarthout,Glendon SwarthoutMiles Hood Swarthout,"Dottie and Madge are friends that share something in common... they are both widows of golfers. When they get together at their country club, they're other girlfriend can't make it. Dottie and Madge order martinis. Madge tells Dottie that they have to get drunk to be brave. Dottie doesn't understand what she means but still keeps ordering the drinks. After Dottie unin... Read all",23m,Mulligans!
168,6.5,--,René CastilloAntonio Urrutia,René CastilloAntonio Urrutia,"One night in the city. A man attempts to commit suicide from the upper level of a tall building. His action is closely watched by a cowboy and a pin-up girl, both characters on two billboards over the neighbouring buildings.",4m,Sin sostén
169,--,--,Anne Chapman,Anne Chapman,"A clumsy businessman is made fun of by the neighborhood children because he rides his bicycle to work every day. One morning, he falls off his bike and decides not to get up, figuring he is no use to anyone...",--,The Cycle of Love
170,5.0,--,Daniel HaalandRune J. Keller,Rune J. Keller,,28m,Mørkeræd
171,6.6,--,Martin Arnold,Martin Arnold,"Mickey Rooney and Judy Garland perform a hellish courtship in a nightmare of the American dream, created by manipulating old film.",15m,Alone. Life Wastes Andy Hardy
172,6.5,--,Grant Heslov,Grant Heslov,An unlucky actor named Josh Silver is hopeful when his agent gets him an audition with his idol Woody Allen.,30m,Waiting for Woody
173,7.0,--,John McKay,Vicki MassonColin McCredieRalph Riach,"In a little Scottish town by the sea, the rain pours and the wind howls and the people are just as miserable as their weather; even Reverend Archie, the trainee minister, is hard pressed to be cheerful. And then, one day, his prayers are answered. The town basks under a Mediterranean heatwave; and all of a sudden folk are eating alfresco and going ballooning and havin... Read all",13m,Doom and Gloom
174,--,--,Andrew Levy,--,,--,Simple As a Dog
175,7.1,--,Lynn-Maree Danzey,Judi McCrossin,"A first date: he shows up at her flat, several stories up in her building. She's finishing getting ready, so she introduces him to her dog, which loves to fetch a small red rubber ball with blue stars. He tosses the ball to the dog a few times, somewhat distractedly, looks through a book (""Do I have to be me?"") on her coffee table, opens the French doors to her balcon... Read all",7m,Fetch
176,7.9,--,Arish Fyzee,Michael Jeter,"The mythical city of Atlantis has risen from the depths in The Forum Shops at Caesars Palace, and champions are being called from around the empire to Race for Atlantis, the world's first giant-screen Imax 3-D ride. The effect created is an unbelievable chariot race through the streets of Atlantis, where the diabolical Ghastlius will stop at nothing to win.",4m,Race for Atlantis
177,5.7,--,Sylvie Rosenthal,Sylvie Rosenthal,"A renowned chef (Pascale Montpetit) who has created a succulent dessert, the Chocolate Bomb, suffers from information bulimia.",16m,La bombe au chocolat
178,7.4,--,Béla Somhegyi,Béla Somhegyi,,30m,A tanévzáró
179,7.4,--,Enda Hughes,Mik DuffyEnda Hughes,"Northern Ireland Sci-Fi comedy, made in the style of a 1950s B-movie.",12m,Flying Saucer Rock'n'Roll
180,8.3,--,Eric Fleming,Warren Davis IIEric Fleming,,--,Fallen Arches
181,6.4,--,John Henry Richardson,John Henry Richardson,"A gang of modern-day bank robbers (the Johnny Hill Gang) who pattern their robberies after the exploits of the notorious John Dillinger. When the gang discovers that the legendary outlaw-who was reported to have been gunned down by the FBI in 1934-is still alive, they go on a cross country quest to find the real Dillinger...",25m,Dillinger in Paradise
182,7.6,--,Keith Thomson,Keith Thomson,,9m,Cupidity
183,5.4,73%,Ben StassenSean MacLeod Phillips,Ben StassenKurt Frey,"A lab accident sends a scientist and his robot assistant on a trip through the history of 3D film. Special appearance by horror host Elvira, Mistress of the Dark.",40m,Encounter in the Third Dimension
184,8.6,--,Ron Sparks,Ron Sparks,"Robin moves into her seemingly perfect new apartment, but soon realizes she can't get her overly-helpful new neighbour Dwight to leave her alone.",19m,Robin's Nest
185,--,--,--,--,--,11m,Meal Ticket
186,6.3,84%,Beverly Chase,Beverly Chase,Two college guys first ponder and then accomplish their goal of buying an old postal jeep.,14m,Going Postal
187,5.7,--,Vin Vuyen,Vin Vuyen,A bizarre super hero in tights tries to retrieve Quentin Tarentino's briefcase from a thief.,7m,Let's Get Real!
188,5.4,--,Mike L. TaylorJesse Witten,Mike L. Taylor,"""Apocalypse Now"" meets ""Clerks"" in this story of a man who is sent in to close a video store and terminate the command of its rogue manager.",21m,Clerks of Darkness
189,7.2,--,Britta Krause,Frank Knauer,,7m,Fünf Minuten
190,6.4,88%,Daniel Wilson,Jeanne Marie Spicuzza,"Naked is a journey through history, intellect, passion and art, a culmination of ten years of work written and directed by Jeanne Marie Spicuzza.",40m,Naked
191,7.5,--,David Graham,David GrahamStephanie Urdang,,--,Crash & Burn
192,3.0,--,Tony Papa,Sharon GibbonLiz Rosch,"When Marilyn neglected to phone her old boyfriend Eric for five years, there was no harm intended - she was just really busy. And now he's come to visit, and he won't leave. As errands and annoying little tasks, like last year's tax return, pile up, Marilyn copes the only way she knows how - by putting things off. Things like asking him to leave. But when Eric suddenl... Read all",23m,Does That Make Me a Bad Person?
193,6.5,--,Jamie Babbit,Jamie Babbit,A lesbian mom tells her daughter of how her mommies met through the retelling of the Sleeping Beauty fairytale with 2 lesbian leads and no Prince Charming.,13m,Sleeping Beauties
194,6.3,--,Mark Baker,--,"After marauding and sinking another ship, a band of pirates capture a female passenger, then send her overboard as punishment for her defiance. She vows revenge, and fortunately is rescued by a small passing ship carrying only its captain, his first mate and a cat. They cross paths with the pirates, but both sides - after seeming to have victory within their grasp - m... Read all",12m,Jolly Roger
195,7.6,--,Tony AnselmoDiane Michelle,--,Donald and Daisy are enjoying a relaxing night at the opera when Donald reaches into Daisy's purse and pulls out a bomb! Now he must defuse it without Daisy noticing.,2m,Mouseworks Opera Box
196,6.1,100%,Tiago GuedesFrederico Serra,Rodrigo Guedes de CarvalhoTiago GuedesFrederico Serra,"After a sink full of soapy water empties through a gurgling drain, a finger appears from underneath: Zé, a plumber, is at work. Eva, the lady of the house, interrupts him wearing little but a smile. She coaxes him out and seduction begins, interrupted by the surprise arrival of her lover, Carlão, a gun-toting criminal. Zé hides under the sink, watching through the dra... Read all",16m,Sink
197,5.0,--,Rosa von Praunheim,Lawrence ElbertRosa von Praunheim,"Jeff Stryker from the Midwest arrives in Hollywood, rents a motel room, and becomes the major fantasy of the owner, his mother, and all the other guests. Young and old, male and female, black and white: everybody finds him delectable. In the end, they invite him to Christmas dinner.",30m,"Can I Be Your Bratwurst, Please?"
198,6.7,--,Peter Peake,Peter Peake,"Two very bored shadowy characters try to think of something to do--and end up playing ""Shadow Puppets.""",7m,Humdrum
199,7.0,--,Jay Lowi,Jay Lowi,"Billy's just been fired & evicted, and someone's trying to bury him alive. Jenny's boyfriend has drugged her and stolen everything. When they meet, things go downhill.",18m,12 Stops on the Road to Nowhere
200,6.8,--,Bill Plympton,Maureen McElheronBill PlymptonP.C. Vey,It's the little things that really hurt.,6m,Push Comes to Shove
201,6.6,--,Bill Plympton,Bill Plympton,A man plucks a hair from his nostril. The hair wants back in.,7m,Nose Hair
202,5.1,--,James Gunn,James Gunn,"Public Service Announcement meant only for mother hamsters, warning them against eating their progeny due to the harmful effects it has on the human children who love them. We see one young child, Billy, who commits suicide after he witnesses the gory tragedy of his hamster, Princess, eating her babies. All of this is narrated by a large-busted Tromette in a bikini, S... Read all",3m,Hamster PSA
203,--,--,Adonis FloridisTheodoros Nikolaidis,Theodoros NikolaidisAdonis Floridis,,26m,Espresso
