,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
206,"6,2",22%,Rupert Wainwright,Tom LazarusRick Ramage,"Cuando una joven se ve afectada por los estigmas, un sacerdote es enviado a investigar su caso, que puede tener graves ramificaciones para su fe y para la propia Iglesia católica.",1h 43min,Stigmata
207,"6,1",--,Russell Mulcahy,Brad MirmanChristopher Lambert,"Los detectives de homicidios Prudhome y Hollingsworth, están asignados a investigar un asesinato. Ambos se enredan en la trama de un asesino en serie cuyo objetivo es recrear el cuerpo de Cristo.",1h 48min,Resurrección
208,"6,2",10%,John Paizs,Philip BedardLarry Lalonde,Something is eating the residents of Exceptional Vista!,1h 39min,Alien predator
209,"4,7",--,André van Heerden,Paul LalondePeter Lalonde,"In this sequel to Apocalypse (1998), Thorold Stone, a police officer in search for answers, joins a rebel group of Christians to thwart the Antichrist's plan to use virtual reality to solidify its power.",1h 38min,Revelación
210,"7,3",69%,Tim Burton,Washington IrvingKevin YagherAndrew Kevin Walker,"Ichabod Crane es enviado a Sleepy Hollow para investigar las decapitaciones de tres personas, siendo el culpable la legendaria aparición, el jinete sin cabeza.",1h 45min,Sleepy Hollow
211,"6,9",--,David Koepp,Richard MathesonDavid Koepp,"Después de ser hipnotizado por su cuñada, un hombre comienza a tener visiones inquietantes del fantasma de una niña y un misterio comienza a desarrollarse a su alrededor.",1h 39min,El último escalón
212,"5,9",--,Brad Keller,Mark HansonBrad Keller,"Añade un argumento en tu idioma
""Playing Dead"" is a mysterious, original romantic thriller that will give you a new reason to fear the dead. Bobby (Mark Hanson), a young man, dies and makes a deal with the devil to get his life back. However, for this to happen he must convince his girlfriend (Meagan Mangum) to kill six people and bring him their souls.",2h 5min,Playing Dead
213,"4,2",20%,Michael Lantieri,Hans BauerCraig Mitchell,"After witnessing his parents being killed by creatures on an island as a child, a young man is brought back to the island a few years later by his psychiatrist, only to be terrorized by the same creatures.",1h 30min,Komodo
214,"5,2",78%,Christian Alvart,Christian Alvart,"Añade un argumento en tu idioma
Writer gets curious about the violent and sado-masochistic ongoings in his neighbour's apartments.",1h 20min,Curiosity & the Cat
215,"5,6",31%,William Malone,Robb WhiteDick Beebe,Un magnate de los parques de atracciones ofrece a un grupo de personas diversas un millón de dólares para que pasen la noche en una casa encantada con un pasado espeluznante.,1h 39min,House on Haunted Hill
216,"6,8",--,Shin'ya Tsukamoto,Shin'ya TsukamotoRampo Edogawa,"Añade un argumento en tu idioma
A successful doctor, Yukio's picture perfect life is gradually wrecked, and taken over by his avenging twin brother, who bumps off his family members one by one and reclaims his lover who is now Yukio's wife.",1h 24min,Sôseiji
217,"7,1",83%,Takashi Miike,Ryû MurakamiDaisuke Tengan,"Un viudo acepta la oferta de su amigo para conseguirle una nueva esposa: organizar un casting para chicas. Después de todo, la chica por la que se siente atraído no es quién parece ser.",1h 55min,Audition
218,"5,6",41%,Wes Craven,Kevin WilliamsonEhren Kruger,"Mientras Sidney y sus amigos visitan el set de Hollywood de Apuñalada 3, la tercera película basada en los asesinatos de Woodsboro, otro asesino, Ghostface, se presenta para aterrorizarlos.",1h 56min,Scream 3
219,"4,8",--,Walter HillFrancis Ford CoppolaJack Sholder,William MaloneDaniel ChubaDavid C. Wilson,La crónica de una operación de búsqueda y rescate por una nave interestelar médica con seis tripulantes en el siglo XXII.,1h 30min,Supernova (El fin del universo)
220,"6,5",--,Eldor Urazbaev,Vladimir Bragin,"Añade un argumento en tu idioma
According to ancient legend, the artist found a mineral that can revive any inanimate thing. To hide the mineral, he inserts it into a doll named Hagi. A century later, Hagi falls into the hands of a puppeteer, and he with horror discovers that the old doll is alive. She also has a nasty character. Criminals try to take possession of it in order to use it for mercenar... Leer todo",1h 27min,Khagi-tragger
221,"6,1",--,Rintarô,ClampMick NekoiSatsuki Igarashi,"Añade un argumento en tu idioma
In 1999, a battle takes place between two factions of divine warriors for the fate of the world.",1h 40min,X: La película
