,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
76,"7,2",--,Otto Chan,Philip ChanTing-Ting Choi,"Añade un argumento en tu idioma
While investigating a couple of murders in a small town, Sheriff Beck discovers a link to an old murdercase, closed thirty odd years ago.",1h 33min,Ji hap chong see: Gung sam
77,"4,5",17%,Jag Mundhra,Jag MundhraMichel W. PottsSimon Levy,"Añade un argumento en tu idioma
An American wife (Maryam d'Abo) of a maharajah inherits five-million dollars after he is stepped on by an elephant during a leopard hunt, but the American insurance company suspects fraud and hires an insurance investigator (Rick Rossovich) to go to India to investigate the questionable death of her husband. In India the wife and investigator start an affair that lead... Leer todo",1h 26min,Tropical Heat
78,"6,2",--,Yuriy Moroz,Yuriy MorozFriedrich Neznansky,"Añade un argumento en tu idioma
A group of operatives is investigating, at first glance, a domestic murder. Investigator Alexander Turetsky understands that the threads of the case lead to the highest echelons of the military leadership of our country, and each next step can be the last for the detectives. But the operatives, risking their lives, continue their work.",2h 3min,Chyornyy kvadrat
79,"5,8",50%,Dario Argento,Franco FerriniGianni RomoliDario Argento,Un joven intenta ayudar a una adolescente a encontrar al asesino en serie que asesinó a sus padres antes de que el asesino los persiga.,1h 46min,Trauma
80,"5,1",--,Joe D'Amato,Daniele Stroppa,"Añade un argumento en tu idioma
After years in prison, Jeff finally returns to his home town. Along the way he meets a beautiful girl. After a while he gets to the pharmacy owned by his brother, Gordon, who barely manages to hide from the unexpected surprise of the meeting. After some confusion Gordon offers Jeff to stay with him for a while. Gordon introduces his wife to Jeff. Linda was none other ... Leer todo",1h 25min,Flor de pasión
81,"6,3",--,Fernando Lopes,Christopher FrankJean NachbaurAntonio Tabucchi,"Añade un argumento en tu idioma
Spino, a pathologist, receives an unidentified body which looks familiar to him... himself, 30 years younger.",1h 31min,La línea del horizonte
82,"7,1",--,Julio Medem,Julio Medem,"Jota está a punto de suicidarse. Mientras lucha contra sí mismo, tratando de saltar de un puente, una chica en motocicleta se cae del puente.",1h 54min,La ardilla roja
83,"6,6",--,Leslie Megahey,Leslie Megahey,"En la Francia medieval, el joven abogado Richard Courtois deja París por una vida más sencilla en el campo. Sin embargo, pronto se ve atraído por intrigas amorosas y políticas.",1h 52min,The Hour of the Pig
84,"7,3",--,Woody Allen,Woody AllenMarshall Brickman,Una pareja de mediana edad sospecha de un juego sucio cuando la esposa de su vecino cae muerta de repente.,1h 44min,Misterioso asesinato en Manhattan
85,"6,6",--,Alan J. Pakula,John GrishamAlan J. Pakula,"Una estudiante de derecho descubre una conspiración, poniéndose a sí misma y a otros en peligro.",2h 21min,El informe Pelícano
86,"5,8",--,Rowdy Herrington,Rowdy HerringtonMarty Kaplan,Un policía de Pittsburgh pide a sus superiores ir tras el homicida serial que mató a su padre.,1h 42min,Persecución mortal
87,"6,2",--,Michael Apted,Dana Stevens,"Emma, una violinista invidente que recientemente se había sometido a una cirugía revolucionaria, se une a un detective de la policía para rastrear a un asesino en serie después de que ella fuera testigo accidental del último crimen.",1h 46min,Sola en la penumbra
88,"6,2",--,Nicholas Kazan,Nicholas Kazan,A successful businessman tries to uncover what is wrong with his wife.,1h 43min,El amante ideal
89,"6,8",67%,Peter Sehr,Peter Sehr,"Añade un argumento en tu idioma
Kaspar Hauser is the son of the duke of Baden. At the age of one he was swapped by another baby that has been killed right after the change. The real Kaspar Hauser grew up in prison without light, social contacts and education for more than ten years. As teenager he came to public again. First he had to learn a language and other basic skills. Before Kaspar Hauser, me... Leer todo",2h 19min,Kaspar Hauser
90,"6,5",--,Akio Jissôji,Rampo EdogawaAkio Satsukawa,"Añade un argumento en tu idioma
The landlord of a boarding house in 1923 Tokyo, is keen on spying on the bizarre close encounters taking place beneath his roof. One day he sees a prostitute killing a customer, and decides he's found his soulmate.",1h 14min,Yaneura no sanposha
91,"3,3",--,Mark Sobel,Stanley Richards,Una organización secreta se hace con el control de las armas nucleares estadounidenses. Un periodista se aventura a detenerlos.,1h 28min,Código de acceso
