,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
434,7.5,--,Ato Bautista,Shugo PraicoAto Bautista,"A realistic glimpse of the Filipino youth in the gulf of Manila's urban gullies that tackles socially-related issues surrounding the intersecting lives of marginalized ordinary Manileños. Presented in a staggered vista of correlated events, the movie explores the day-to-day survival of the characters and their broken dreams, pent-up anger and abnormal sexuality. It co... Read all",1h 35m,Sa aking pagkakagising mula sa kamulatan
435,6.5,--,Yuriy Kara,Mikhail A. BulgakovYuriy Kara,"Interwoven are a satire of the 1930's under Stalin, the inner struggle of Pontius Pilate around the execution of Jesus, and the love story between a writer in Moscow and his lover Margarita.",2h 5m,Master i Margarita
436,6.0,50%,Terri Farley-Teruel,Terry Chase Chenowith,"A pilot gets shot down and gets amnesia; later on his grief-stricken wife finds him in a small town, and is shocked that he doesn't remember her.",1h 30m,Beautiful Dreamer
437,4.3,--,Dennis Cooper,Dennis Cooper,"Dr. Z(achary) is also a comedian. He gets his inspiration from staff and patients at the hospital. He and Donna befriend and affect his womanizing intern, Ray.",1h 39m,Ways of the Flesh
438,6.3,43%,Lynn Shelton,Lynn Shelton,A tragic-comic tale with surrealistic tendencies about a lost 23-year-old who is haunted by her disappointed 13-year-old self.,1h 20m,We Go Way Back
439,4.3,40%,Rohan Michael Hoole,Rohan Michael Hoole,"A group of disaffected twenty-somethings occupy a dystopic, hyper-urban Australia. They spend their time eating udon noodles, listening to Swedish pop music and committing mass executions for the police.",1h 30m,Court of Lonely Royals
440,4.1,11%,Jean Rollin,Jean-Claude Roy,"Two cops try to stop a mysterious serial killer dubbed ""Car Woman"" after the toy car she always leaves next to her victims in this surreal slasher.",1h 29m,Killing Car
441,--,--,Rui Simões,--,Documentary about the Therapeutic Theatre Group of Julio de Matos' Psychiatric Hospital.,50m,Theatre of Dreams
442,5.8,19%,Q. Allan Brocka,Q. Allan Brocka,"After getting dumped by his slutty girlfriend, Caleb falls in love with Gwen. However, thanks to Caleb's roommate, Gwen thinks he's gay and sets him up with her roommate, Marc.",1h 30m,Eating Out
443,7.6,--,Matt Dickinson,Matt DickinsonSteve Varden,"A young man with cerebral palsy leaves the safety of his care home to search for a wrecked aircraft, finding adventure, freedom, and love along the way.",1h 32m,Cloud Cuckoo Land
444,--,--,Néstor Mazzini,Néstor Mazzini,"Buenos Aires, December 2001. Esteche celebrates his wedding in a plaza. Unexpectedly he falls unconscious on the cake. They load him into a car and take him to the hospital. As he dies, he glimpses the possible motives for dying.",1h 20m,Que lo pague la noche
445,5.5,53%,J.J. Alani,J.J. Alani,Sparks fly when a Jew and a Muslim fall in love in New York.,1h 46m,David & Layla
446,--,--,Mehran Tizkar,Mehran Tizkar,Add a plot,--,A Film About the Believing
447,6.7,67%,Scott Z. Burns,Scott Z. BurnsKen Kalfus,"A worker at a Russian nuclear facility gets exposed to a lethal dose of radiation. In order to provide for his family, he steals some plutonium and sets out to sell it on Moscow's black market with the help of an incompetent criminal.",1h 37m,The Half Life of Timofey Berezin
448,5.8,--,Rick Garside,Rick Garside,"""LIFE WILL KNOCK YOU DOWN. THIS FILM WILL PICK YOU UP."" This true story is about ordinary people who discover that faith happens in the midst of lifes twists and turns. Every incident in this film is based on actual events that came from the same small church. What do a drug addict, a feisty old lady, an African refugee, an ex-boxer, a salesman and a Chinese entrepren... Read all",--,Faith Happens
449,8.5,--,Tsering Rhitar Sherpa,Tsering Rhitar SherpaKesang Tseten,"In a nunnery in the high desert mountains of Mustang, a revered abbess dies, leaving signs that she will be reborn in the precious human form. Prayers and ritual must be done to help her consciousness into its next rebirth, but the nunnery coffers are empty. The senior nuns decide that the only way out is get back money loaned out by the nunnery. A mysterious loan was... Read all",1h 30m,Karma
450,4.7,--,Michael Kallio,Michael KallioOliver Theess,A father has one mission: Save the life of his little girl.,1h 26m,Koreatown
451,7.0,--,Ziad Ahmed,Ziad Ahmed,A young Moroccan man fulfills his dream of going to America only to find himself caught in a triangle of two warring mafia families and the FBI.,2h 15m,Real Premonition
