,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
166,7.1,48%,Mark Morgenstern,Denis McGrath,"They watch. They wait. And they work for four seconds. Three rough and ready paparazzi are joined on a stakeout by a young, ambitious intern. Alliances and friendship develop, shift and ultimately dissolve in the harsh glare of the only thing that really matters: getting the shot.",14m,Shooter
167,--,--,Frederik Bois,Frederik Bois,,24m,Anywhere Out of the World
168,7.2,--,Jeff Lew,Jeff Lew,"During a loud party, a bean called Killer Bean breaks in, and begins to attack all the beans in the building.",7m,Killer Bean 2.1: The Party
169,6.8,44%,Aaron Saidman,Aaron Saidman,,25m,Believe
170,5.4,--,Aristomenis Tsirbas,Aristomenis Tsirbas,"Ray Tracey, a sassy speed demon, has just two minutes to race and catch a screening of the Electronic Theater. Unfortunately for our heroine, she must evade the pursuit of the dangerous 'Cop-Cycles' and 'Heli-Cop-Ters', who will spare no fire-power to stop her journey.",2m,Ray Tracey in Full Tilt
171,7.7,--,Mamoru Hosoda,Akiyoshi HongoReiko Yoshida,"A year after the events of the first season, a virus Digimon called Diaboromon appears and starts attacking the Internet. The DigiDestined unites once more in order to prevent him from destroying every communications network on the planet.",41m,Digimon Adventure: Our War Game!
172,7.9,--,Miguel Coyula,Miguel Coyula,Parody of Hollywood's action blockbusters using the typical trailer of a B-movie.,6m,Clase z tropical
173,7.5,--,Grace Lee,Grace Lee,"In a city park, a young man walks up to a young woman. She's sitting alone on a concrete bench that circles a statue. There are lots of empty places near her to sit. She's reading. The young man verbally assaults her, telling her that she's sitting in his seat and that she needs to move. When she ignores him, he gets physical - then, he discovers he's underestimated h... Read all",2m,Girl Meets Boy
174,6.5,--,Santi AmodeoAlberto Rodríguez,Alex O'Dogherty,Add a plot,12m,Bancos
175,6.0,--,Steve Parys,Steve Parys,"A ragtag group of survivors bands together to search for the cause, and possible cure, of the zombie plague devastating the planet, flooding the world with walking, thinking, animated dead.",17m,Reign of the Dead
176,7.1,100%,Ray Spiess,Ray Spiess,A Native American Medicine man has a vision of the future to come.,11m,Dreamer
177,8.7,45%,Ori Greenberg,Ori Greenberg,Add a plot,17m,Havoc
178,--,--,Darrin Dickerson,Darrin Dickerson,"Widowmaker is the story of an assassin who has made a living with a gun and a lack of conscience...until now. Assigned a woman with a child, he hesitates and questions the job as well as the people who've hired him.",24m,Widowmaker
179,--,--,Michael R. Morris,Michael R. MorrisJohn Francis Sullivan,"When transporting the priceless restorations of a world-renowned dead composer, an uptown prig unwittingly collides with a just-shy-of-crafty con man, who snatches the manuscripts and exchanges them for his life to a set of malcontent hoodlums itching to ring his neck.",29m,The Mid-Day Two-Way Cacophony Crisis
180,7.4,--,Luke Greenfield,Luke GreenfieldDavid Scotti,"You all know Bruno...Bruno is a born loser with the ladies. Scoffed and scorned, the only thing Bruno could pick up in a singles' bar is the check! Until now. Now Bruno sees the girl of his dreams and he'll fight all odds to win her - even her lesbian girlfriend. In a 10-minute brawl of hilarity, Bruno finds ""The Right Hook,"" a short film that asks the age-old questio... Read all",10m,The Right Hook
181,--,--,Vicky Shen,Vicky Shen,"A crying baby is left out of a hidden shelter, and ironically saves his own life when the shelter is blown-up by American soldiers in Vietnam. The baby is brought to America only to become a soldier in another generation of war.",9m,The Killing Seasons
182,--,--,--,--,--,--,--
183,6.8,68%,Ang Lee,David Carter,"The Driver is carrying an East Asian child who has been chosen for a strange rite. He must drive him through the city to get to a monk's house, while eluding several cars out to get the child.",6m,Chosen
184,7.9,--,Leone Marucci,Leone Marucci,,--,Meddle and Steal
185,7.0,66%,John Frankenheimer,Andrew Kevin Walker,A mysterious BMW driver must protect an eccentric old foreigner from criminals.,6m,Ambush
186,9.0,--,Brian Joe,Brian JoeAndre Sala,"In the near future where pencils and paper are prohibited, Trenton needs a NO. 2 pencil. He's almost done with the last chapter of a manifesto. But in a world where the sharing of ideas is under strict government regulation, this proves to be a daunting task. Culver, a young aspiring writer, runs an underground business selling illegal contraband to rebels like himsel... Read all",--,No2
187,7.3,--,Kar-Wai Wong,Andrew Kevin Walker,The Driver is now spying on a celebrity's wife suspected of adultery.,8m,The Follow
188,5.8,--,Mark Wilkinson,Mark Wilkinson,"Salvatore and Angela are two of the toughest killers in the business - the family business. When their stolen car breaks down on the way to a hit, this tale of two hot-headed Italians (with a few too many guns) erupts.",12m,Sally and Angela
189,7.6,--,Guy Ritchie,Guy RitchieJoe Sweet,The Driver carries an arrogant rock star who wants to get away from her bodyguards in the Driver's BMW.,7m,Star
190,7.5,75%,Alejandro G. Iñárritu,David CarterAlejandro G. IñárrituGuillermo Arriaga,"January 13, 2001. Times war photographer Harvey Jacobs is wounded while witnessing a massacre at Nuevo Colon by terrorists. In a desperate effort, the United Nations sends a vehicle to get him out, a BMW driven by the mysterious Driver.",8m,Powder Keg
191,--,20%,Lasha Dardagany,Lasha Dardagany,"George 'Gio' Baratelli travels back to his hometown of Tbilisi, only to find his Godfather Archil has been died. During this visit, George realizes that the death of his Godfather was not accidental, but a murder. With this knowledge, George sets out to find all those responsible. Unable to be helped by Natalie, his childhood friend and a granddaughter of his Godfathe... Read all",10m,Day of Reckoning
192,7.2,--,Ben Elia,Ben Elia,Holograms engage in a battle against a cube.,5m,Avatars
193,7.1,--,Paul Budnitz,Paul Budnitz,A lonely hitman known only as the Watcher is addicted to a drug supplied by his employers. He follows a girl home one night...,14m,Ultraviolet
194,5.6,--,Nash Edgerton,Joel EdgertonNash Edgerton,A young filmmaker pitches his latest masterpiece.,3m,The Pitch
195,6.5,--,Maurice A. Dwyer,Maurice A. Dwyer,An urban opera about a man in the wrong place at the wrong time.,7m,Whoa
196,6.7,--,Jalmari Helander,Jalmari HelanderJuuso HelanderKalle Määttä,"A scientist who became radioactive in an accident at a research center is framed by a large corporation, leading to a crusade to bring down the corporation and get revenge.",22m,Ukkonen
197,7.3,--,Graham Elwood,Timothy A. BennettGraham Elwood,A Featured Short Film Presentation.,15m,Hello Junkie
198,6.2,--,Chris Bailey,Gary Owens,"A glimpse into a little boy's obsession with the genetically engineered superhero, Major Damage.",3m,Major Damage
199,--,--,Jon Lucas,Jon Lucas,,10m,Culture
200,6.1,--,Lee Demarbre,Ian Driscoll,"Harry Knuckles (code name Spanish Fly) must stop his nemesis who has kidnapped his daughter and poisoned her. Harry and his partner, Santo must find the serum that can save her and stop the ancient Aztec Mummy and it's evil zombies that pursue.",27m,Harry Knuckles and the Treasure of the Aztec Mummy
201,--,--,Kasimir Lehto,Kasimir Lehto,,15m,I Survived the Redesign
202,4.6,--,David Bjerre,David BjerreJesper N. Christiansen,"The story follows professional runner Lisa. On a training run in the forest she comes across The Dark Prince fighting with Archangel Gabriel. Just before he dies Gabriel gives The Word to Lisa. This is the secret key that will lock the gates to hell. With the help of half-angel Arkel and her ex-boyfriend Thomas, she must travel to the gates of Hell to lock them foreve... Read all",35m,Gabriels ord
203,7.4,86%,Michael Bendner,Michael Bendner,,2m,The Affair
204,3.5,69%,Xavier Koller,Xavier KollerRalph Van Deusen,,12m,Highway
205,6.9,--,Nathan Morlando,Nathan Morlando,A bike courier dreams of being an action hero. Destiny arrives - he delivers a script to his favourite producer.,25m,Countdown
206,7.9,--,Alex Ranarivelo,Alex Ranarivelo,"After being arrested, a young street-racing addict attempts to avoid the pitfalls of his illegal pastime. But when his reputation is challenged by an aggressive racer with a fast ride, he can't back down. A fast-paced look into the world of underground street-racing.",22m,The Last Race
207,5.9,--,Robert Lundmark,Robert Lundmark,"The year is 4000, the year for lasergunslingers, aliens and scoundrels. DISCLAIMER: May also include revenge, greed, explosions, hologram poker and NO DAMN LAW. (Or horses.)",28m,No Law 4000
208,7.4,--,Zac AdamsCamron Carrier,Bob Giordano,"Caught on the wrong side of the tracks, a businessman finds out what life is like as a bum when the tables are turned.",15m,A Little Change
209,7.6,--,Carlos Caridad-Montero,Carlos Caridad-Montero,"Two blind men with guns. A cannibal boxer. A krishna disciple in trouble. A fight of loyalties and betrayals. In the underworld of illegal boxing, only a twisted ending can guarantee your life.",12m,Tarde de machos
210,8.3,90%,Malik Vitthal,Ismet Prcic,A hit man redeems himself after an encounter with his boss.,15m,sIDney
211,7.1,--,Karl Horstmann,Karl Horstmann,"The hunter becomes the hunted as crime, violence and justice come together in one small neighborhood store. For the victims, there is one way in and no way out.",5m,Cliché
212,6.6,--,Uros Tomic,Milan TodorovicUros Tomic,,15m,Gajba od 500 Weiferta
213,8.1,--,Jay Baruchel,Jay Baruchel,"After their first date, Edgar and Jane kiss and so begins our frantic journey through the rest of their lives. A hyper-real, religious epic about love, revenge and the end of the world.",17m,Edgar and Jane
214,7.2,--,Ciarán Foy,Ciarán Foy,"Five office workers are taken hostage by shy colleague Neil (Ned Dennehy), and his evil hand puppet Morgan. They have one request - Their bosses head on a plate. Tension mounts, and as the cops arrive, Morgan is growing impatient.",8m,The Puppet
215,5.6,--,James Anthony Kelsey,James Anthony Kelsey,"A young couple is concerned about the future of their relationship as they anticipate their time apart. With the discovery of a relic that is capable of stopping time, they decide to test their destiny. Unaware of the events to come, they quickly discovered that dabbling with the element of time may have dire consequences.",30m,Beccerra
216,7.2,35%,John Woo,David CarterGreg HahnVy Vincent Ngo,"The driver races to locate a kidnapped victim locked in the trunk of an abandoned car somewhere on the water's edge. Linked to her only by cell phone, the driver narrows in on her location in a desperate race against time and tide.",9m,Hostage
217,3.2,--,Mattijs Mollee,Mattijs Mollee,,2m,Untitled
218,7.3,--,Tony Scott,David FincherDavid CarterGreg Hahn,"Decades ago, the legendary James Brown sold his soul to the devil for fame and fortune. Now he wishes to renegotiate. Hired to take Mr. Brown to a rendezvous with the devil, the driver soon finds himself entangled in fiendish plans.",9m,Beat the Devil
219,7.3,--,Jacques DonguyMichel Journiac,Michel Journiac,,4m,Préparation d'une plaque de sang
220,5.9,--,Robin Shou,Robin ShouBeatrice ChiaKeith Cooke,"Evan, a member of the once proud and feared group of assassins known as Forest Devils. He must take on his toughest assignment yet--kill his fellow assassins before he himself is assassinated. Together with his partner and lover Silver, they set out on a quest to annihilate the true evil.",--,Lost Time: The Movie
221,7.8,--,Kevin Fukunaga,Kevin FukunagaStevo Polyi,"The Making of the Dragon is a comedic satire (not a spoof) of the Kung-Fu film genre. Shot as a ""Behind-the-Scenes"" look at how a fictional Kung-Fu movie is made, the film is basically a movie about the making of a movie. The fictional film ""The Dragon"" tells the story of how a young boy, who's master is killed by a group of thugs, grows up to avenge his teacher's mur... Read all",13m,Four Fingers of the Dragon
222,8.1,--,T.G. Matthews,T.G. MatthewsJustin Ware,Two best friends unleash a half-brained scheme to become Hollywood action stars.,15m,Men of Action
223,2.9,--,Mike Moncada,Henry BadaPeter Campbell,A Master Criminal needs to test the depths of his immorality by choosing the woman he loves as his next victim.,25m,Name of the Rose
224,7.1,--,Matt Antell,Matt AntellOdin Shafer,,11m,Smooth
225,--,--,Andrew Connolly,Andrew Connolly,"In a seedy downtown LA bar, four barfly's scheme to steal a $1,000,000 from a mortally wounded bank robber on the run.",15m,Flush
226,7.5,--,Andrew R. Jones,Lilly WachowskiLana Wachowski,"The crew of the hovercraft Osiris must get a message back to Zion, a message of vital importance. Easy to do, but for the armada of Sentinels between them and Zion.",9m,Final Flight of the Osiris
227,5.3,--,Michael A. Martinez,Jesper Pingo Lindström,A small group of soldiers on a remote dew-line outpost in northern Canada discover that scientific experiments conducted there have created a horrible monster that has been terrorizing the base.,22m,Chimera
228,7.9,--,Peter Hunziker,Peter Hunziker,,5m,The Uninvited
229,5.7,--,Tyrone FinchJeremy Hall,Tyrone FinchJeremy Hall,"A man wants to take revenge for a terrible incident with dodgeballs, that happenened when he was young.",11m,Street of Pain
230,--,--,Joe Talbott,David Terrenoire,"A hostage is beaten to reveal a secret, while a secret rescue plan is underway. Surrounded by enemies, freedom could prove more elusive than you think.",7m,Tell Us
231,7.2,--,Yoshiaki Kawajiri,Yoshiaki Kawajiri,"Cis and Duo, a pair of freed minds, practice their skills in an old-fashioned samurai sword-fight. Duo tells Cis that he's tired of living outside the Matrix and he wants her to come with him... and he's not accepting no for an answer.",7m,Program
232,--,--,Breht Gardner,Ken Gamble,"""Leo's Oscar"" takes a satirical look at Oscar Night, and the mercurial nature of Hollywood ""heat"", when an unknown actor, Val Baron, accidentally wins the Academy Award for Best Actor... and almost destroys his career -- a wickedly desperate portrait of how TinselTown tortures its own.",30m,Leo's Oscar
233,7.6,--,Aaron Antaloczy,Aaron Antaloczy,The Deliverer and his desperate passenger race against time. The clock is ticking! Will they make it?,5m,Pinto Films: 30 Minutes
234,7.3,--,Sandy Collora,Sandy Collora,"The Joker has escaped from Arkham and Batman must once again bring him in - once and for all. Unfortunately for the bat, there is something even more sinister than the Joker waiting in the alley for the dark knight detective..",8m,Batman: Dead End
235,6.4,81%,Nicolai Amter,Hyan Thiboutot,London 2024. A team of Internet virus catchers battle a new breed of electronic virus that threatens world destruction.,9m,Avatar
236,1.9,--,Donald Flaherty Fajardo,Bob KaneDonald Flaherty FajardoDenise Torres,"Batman is captured, held prisoner, and tortured by a petty thief who has a score to settle.",29m,The Death of Batman
237,6.7,--,Gary E. Irwin,Paul AlfeKevin HackenbergGary E. Irwin,"A woman leaves a plastic surgeon's office after hearing the receptionist say ""please hold"" and starts running - to where?",6m,Four.50
238,--,--,Joko Anwar,Joko Anwar,"Joni, a college fresh graduate, has lost his faith in his country. One day, on his way to his first job interview, he encounters some surprising events which may change his pessimistic view of the future.",18m,Joni Be Brave
239,7.9,--,Christoph Heckenbücker,Marcel-Kyrill GardelliChristoph Heckenbücker,"The childlike Newman sets an ingenious trap for his domineering brother Ringo, in an attempt to get ""quits"" following 15 years of fraternal oppression.",10m,Quits
240,6.3,42%,Angela Robinson,Angela Robinson,A quartet of girls from a prep high school are recruited by a secret paramilitary academy to conduct cloak-and-dagger missions.,11m,D.E.B.S.
241,6.7,--,Andreas Krein,Andreas Krein,Take a loony with his pet frog and lunchtime atop a skyscraper will never be the same again.,6m,Hochbetrieb
242,7.0,34%,Ilo Orleans,Ilo Orleans,When two men meet through an Internet chat line they really seem to click but first impressions are sometimes fleeting. Will what lies beneath the beautiful young bodies and faces lead to a longer relationship?,6m,Click
243,--,20%,Celeste,Celeste,,18m,The Golden Arrow
244,6.9,93%,Helmut Kobler,Jon Clarke,"Radius tells the story of a military ship shot down behind enemy lines. A massive ""CraterMaker"" warhead has gone active on the downed ship, giving the pilot and her crew 30 minutes to escape the blast. Meanwhile, an entity named Diamone, divided itself into twins to try to stop the bomb and stop the crew.",33m,Radius
245,--,--,Joseph Lazare,Joseph LazareWalter Scott,A group of young people vie to protect the Earth from a nasty-minded alien toddler.,24m,Might of the Starchaser
246,--,--,David Dawoodi,David Dawoodi,,10m,Kaos
247,7.2,--,Vito Trabucco,Mark Terry,Three American soldiers survive a barrage of gunfire while fighting in Vietnam and try to make their way out of the swamp.,15m,Night Demons
248,--,--,Nathan Gotsch,Nathan Gotsch,"The Runaround is an action comedy centered around two childhood friends who are facing eviction from the apartment they share unless they can come up with $1,500 in four days. A chance encounter with an old acquaintance leads to the opportunity for a big score, but they'll have to wade into the unfamiliar territory of their city's murky criminal underworld.",32m,The Runaround
249,4.5,--,Aaron Morgan,Aaron MorganEric Vespe,"A man in a bloody shirt enters his apartment. He's Vesser. His phone rings; his friend Sam invites him to join them for dinner the next night to meet a woman newly hired at a local museum. Vesser accepts and at a restaurant the four enjoy conversation. She's Angela, the museum's new night cataloger; she describes a new artifact, an English head crusher. Vesser perks u... Read all",13m,Blind
250,6.2,75%,Jay Co,Jay Co,"Mr. White, an operative for an unseen Russian, double-crosses Mr. Noir on a rooftop parking lot, stealing a computer file from him and stepping into the elevator to descend. Noir races to the elevator in time to enter as it starts its descent. He engages White in a furious battle of skilled martial arts within the elevator's confined space. On the third floor, waiting... Read all",--,Versus
251,5.7,--,James J.D. Taylor,John J. CornettaRachel StamperScott Stamper,"In the near future overpopulation threatens the survival of the human race. In order to save mankind, the Population Control Agency (PCA) is created. PCA agents are granted the authority to reduce the population in high-density areas by eliminating the dregs of society. In other words, they have a license to kill very annoying people. In this dark comedy Agent Mike Br... Read all",20m,Just Asking for It
252,8.7,--,Rob O'Malley,Rob O'Malley,Add a plot,16m,On the Run
253,8.6,--,Ford Austin,Ford AustinScott Ingalls,"When three government soldiers are sent on a reconnaissance mission to capture a rogue extra terrestrial, the alien uses his space weapon to probe them like there is no tomorrow.",--,Revenge of Cerebral Print
254,--,33%,Jeff Centauri,Jeff Centauri,"Jeff Centauri spoofs Martial arts action star ""SAMMO HUNG"" in this hilarious martial arts skit.",--,Gung Ho
255,--,--,Bill CorlessT. David Franklin,Bill Corless,,--,Hawaiian Treasure
256,7.2,--,Alexander Woo,Matt PetersAlexander WooDan Blank,"A high-ranking Nazi general has occupied a legendary volcano in South America. Convinced that his motives are more than leisurely, the U.S. sends Rex Steele, Nazi smasher extraordinaire, to uncover and foil the Nazi's evil plans.",11m,Rex Steele: Nazi Smasher
257,7.0,38%,David Harb,David Harb,A rough and tough bounty hunter enlists in beauty school and all havoc ensues.,14m,Cut and Run
258,8.0,--,Kent Sanderson,Kent Sanderson,Captain Valedor and his compatriots invade the treacherous Spider Queen's fortress in this 14th chapter of an otherwise non-existent serial. Will they be able to stop her and her monstrous spider warrior before the peaceful planet of Tranquilia is doomed?,4m,Captain Valedor versus the Spider Queen
259,6.2,50%,Andres PassVille LähdeMatti Kuusniemi,--,Make is a professional killer who is blackmailed by his employer Jorma to kill Jorma's enemies for free.,35m,Blood Money
260,--,--,Thomas Gaunt,Thomas Gaunt,"The Payback is a short hard-boiled action thriller depicting the mechanics of a violent revenge. An unknown dock worker is chased down a city alley and savagely beaten by a corrupt union boss and his goon. Once caught, the camera assumes the P.O.V. of the victim alternating between film and video formats with each brutal blow. Inspired by Alan Barone's Blast of Silenc... Read all",2m,The Payback
261,7.2,--,Kristin DehnertAimee Lagos,Aimee LagosKristin Dehnert,A white woman riding the subway system begins to suspect that two non-white men are following her.,11m,Underground
262,4.9,--,Graig F. Weich,Graig F. Weich,"""When I grow up, I wish I could be a superhero""... Be careful what you wish for... for that is now the reality that haunts one human who has been chosen to unlock the missing link to a power he has no control over, which will expose the mystery of our existence & our purpose. Then a new Hero will be born to fight genetically altered humans. What if Mythology was not m... Read all",--,Ravedactyl: Project Evolution
263,6.3,--,Alan Lau,Warren GraffAlan LauRhode Montijo,"In this animated short by the creators of Happy Tree Friends Buddhist Monkey, a monkey who is very peaceful and relaxed, is meditating in the garden when all of the sudden he get's attacked by three green ninjas who damage the beautiful plants in his garden, including one flower that he loved the most, which causes him to get angry and show his amazing martial arts sk... Read all",3m,Buddhist Monkey
264,6.5,--,Rich Ho,Rich HoKatharine Chong,"After decades of watching aliens wreak havoc in America, ""The Alien Invasion"" brings the absurd battle to the comical side of Singapore. After seven thousand earth years, they have returned to harvest their newly grown planet of slaves. Discover how a glitch in alien technology allowed a small university, in a small country, to help save the world. Featuring Singapore... Read all",18m,The Alien Invasion
265,--,--,Ford Austin,Ford AustinJed Rowen,,--,A Cerebral Print Halloween Special
266,--,--,Ford Austin,Ford Austin,,--,Brothuh of Cerebral Print
267,8.5,--,Lee Pantos,Lee Pantos,"Blair (Lead Band Member) is faced with going to jail for drug possession keeping the main supplier the ""Executive"" under wraps, or save his own skin and rat out the brother of his girlfriend. Knowing full aware that he is caught between two no win situations!",31m,No More
268,--,--,Jan Cronauer,Jan Cronauer,,23m,Tripdeluxe
269,--,--,Josh IngemiDerek Klanfer,Jason BestMark CohenJosh Ingemi,,30m,The Fisher
270,7.0,29%,Bálint Kenyeres,Bálint KenyeresGyörgy Réder,"Before dawn, people will rise and other people will take away their hope.",13m,Before Dawn
271,7.0,--,Tom Putnam,Michael S. HarbourJeff MalmbergTom Putnam,"""Broadcast 23"" is a comedy disguised as a horror film. Professor Russell Morgan thinks he's on to the scientific break-through of the century. He couldn't be more right... or more wrong. ""May God have mercy on our souls, Broadcast 23 wasn't a greeting at all...""",7m,Broadcast 23
272,8.1,--,Keith Jodoin,Keith JodoinRobert Alan Anderson,An action serial about a highly trained young woman who's embarking on her career as an international spy and discovering it takes more than good looks to keep things from falling into the wrong hands.,30m,Evenfall
273,6.4,--,Didier Bénureau,Didier BénureauAnne Gavard,"Hesitant to have his cat neutered, Rémi inquires about the possibility of a sex life without testicles. A man in search of his sexual identity.",22m,Les couilles de mon chat
274,4.1,50%,Alex Ferrari,Alex FerrariJorge F. Rodriguez,"A gun blast, a flash of light, and a young woman awakens to the comfort of her own bed. Bonnie Clayton has it all, a great relationship, a challenging career, and the burden of a dream that grows more vivid and disturbing with each passing night. But when Bonnie is abducted by a sadistic stranger and his colorful entourage, she discovers that the key to her survival l... Read all",19m,Broken
275,7.4,--,Ford Austin,Ford Austin,"When an E.T. attempts to return to his home planet, he is cornered by a sexy bounty hunter from space and her sidekick who try to bring him in and collect the bounty on his head. The alien is forced to fight for his life in a battle that kicks off an intergalactic war.",--,Cerebral Print: End Game
276,7.9,--,Chris Hall,Chris Hall,Add a plot,6m,Nun Fu
277,--,--,Hakan Haslaman,Hakan Haslaman,,--,Way of Khan
278,8.6,--,Ian Truitner,Ian Truitner,A day of wrath leaves only one man standing.,--,Dies Irae
279,8.5,--,Fran Casanova,Fran Casanova,Add a plot,2m,Maxim Slaughter
280,8.6,--,Yves Courbet,Yves Courbet,"On a desk in disorder, a small very excited fire cracker abuses a pair of scissors and a match box. Under the fire cracker named Schpack's intolerable excitement, Cuty the scissors and Matchbox decide to fight together to get rid of this unbearable intruder. But they do not know how crafty Schpack is.",3m,The Firecracker
281,8.4,--,Yves Courbet,Yves Courbet,"In a quiet and green park a nice baby is sleeping peacefully, in his stroller. Suddenly he is disturbed by the arrival of an unbearable sparrow who keeps on whistling. Exhausted by this unceasing and stressing song, the baby decides to react. An unusual duel begins between the child and the bird.",3m,Flying Baby
282,5.5,--,Jack Swanstrom,Shane Black,"Vietnam. 1972. US Army Special Forces Major Cliff Marquette leads a squad ordered to investigate unusual reports and secure a remote jungle temple locals believe has mystical powers. The Marines guarding the temple have withheld provisions for days from a Viet Cong prisoner. Despite severe mistreatment, the prisoner mysteriously shows no signs of suffering. Marquette ... Read all",20m,A.W.O.L
283,6.9,--,Daniel Fajemisin-DuncanJonathan Pearson,Daniel Fajemisin-DuncanJonathan PearsonStephen Follows,'Space Chase' is a fast-paced short film from Catsnake Studios. Our hero and heroine become locked in a frantic race using elements of Parkour to reach their goal.,--,Space Chase
284,6.7,67%,Dean Francis,Rozlyn Clayton-Vincent,"A female flight attendant on a Trans-Pacific flight asks the question: ""what would you do with the last five minutes of your life?"" And answers it in the worst case scenario.",9m,Afterlife
285,7.3,--,Steffen HackerAlexander Kiesl,Steffen HackerAlexander Kiesl,Business as usual at a normal airport. But have you ever thought about the pilot's egos? Two aircraft crews try to find out which plane burns more rubber on a quarter mile.,2m,Racing Beats
286,8.9,60%,Ming Lo,Ming Lo,Add a plot,11m,Safe
287,6.8,--,Mats Karsvall,Mats Karsvall,"The film begins with authentic statements from American intelligence officials, describing Sweden as a naive country and a home for terrorists. Then we follow a man from the Middle East through the streets of Stockholm. At the American Embassy, an operation starts off. According to their intelligence, the man is a terrorist heading for a terrorist cell. They follow hi... Read all",14m,Backyard Suicide
288,7.2,--,Brad Kean,Brad Kean,"Brilliant robotics engineer Alex Wayland has perfected android technology. When he refuses to continue working under his corrupt superior, Wayland discovers that he is now marked for replacement. Stalked by an android bearing his exact likeness, Wayland must stop the corporation at all costs. In a world where anyone can be replaced at a moments notice, where do you tu... Read all",15m,Entity: Nine
289,7.7,--,Eddie Shieh,Eddie Shieh,Two immigrants embrace an ingenious solution while distributing restaurant menus.,15m,No Menus Please
290,5.2,--,Harold Cronk,Rik Swartzwelder,"Inspired by a Mark Twain short story, WAR PRAYER is an intense atmospheric film that takes the viewer through a surreal, ravaged landscape; it is a world that is vaguely familiar; recognizable, yet altogether unknown. Through thick clouds of choking gas, a Hero plants land mines; an Enemy pursues. When their paths collide, who will be left standing?",16m,War Prayer
291,8.3,--,Bilge Ebiri,Bilge Ebiri,A hapless thief gets more than he bargained for when he starts scoping out an old woman's luggage.,10m,Purse Snatcher
292,7.1,--,Ben Telford,L. Frank BaumJoseph ConradMichael Herr,"Dorothy Willard, East Asian-American offspring of the Viet Nam War, takes a dream mission to ""terminate"" a renegade U.S. Army colonel - code-named 'The Wizard'.",30m,Apocalypse Oz
293,6.4,--,Dean Bajramovic,Dean Bajramovic,"They say Asian Assassin Johnny Hung kills without warning, without a sound. They say he is invincible. They say he bitch slapped the devil then banged his wife. The last time crime boss Gogo brought the legendary Johnny Hung to town was 2 years ago. Johnny Hung brought with him only one thing, absolute obliteration to all who stood in his path. When Johnny Hung left, ... Read all",20m,Guns to Gogo
294,6.6,--,Kaisa Penttilä,Kaisa Penttilä,A caring mother turns into a powerful world-saving superhero within seconds and leaves on a rescue mission and the little boy is alone - once again.,14m,Supermiehen poika
295,--,--,Andrew Neel,Andrew Neel,"Cosey, during his bid to become a member of his Bronx gang, tries to avoid harming an innocent stranger who is the victim of his violent initiation ritual.",3m,Initiation
296,6.2,92%,Lydia Martinelli,Lydia Martinelli,,--,Leverage
297,8.8,--,Guy Shahar,David BroitmanGuy Shahar,,4m,Mop That!
298,4.4,--,Ryan Travis,Ryan TravisAri Weiner,"From ShadowScreen Productions comes the second short film by Director Ryan Travis. The Chase is a high octane ride through the gritty urban landscape of Hamburg, Germany. The ride begins in a barren warehouse, where the Thief, played by Beau Clark delivers high end merchandise to his underworld client. The underworld client, or Boss, played by Kevin Scott Allen closel... Read all",6m,The Chase
299,6.5,--,Edgar Wright,Edgar Wright,This home movie features a cop named Barry Stern who has to hunt down a serial killer. In the style of Dirty Harry meets Airplane.,39m,Dead Right
300,--,--,Jesús Marugán,George LucasJesús Marugán,,11m,Star Wars: Episodio Pi - Sithspotting
301,7.7,--,Jalmari Helander,Jalmari HelanderJuuso Helander,In this sequel to 'Rare Exports Inc' we are shown the horrendous results of abusing Father Christmas.,10m,The Official Rare Exports Inc. Safety Instructions 2005
302,6.9,--,Russ Emanuel,Emile Haris,A female assassin's personal and professional life collide.,14m,Girl with Gun
303,4.8,--,Martin Troy,Jon Bonnell,Two hit-men arrive to whack a mob boss but get more than they bargained for.,7m,The Cleaner
304,6.0,--,Sarah Sterchele,Matthew BalkeStephen King,"The film follows a gunslinger's quest to find his betrayer and enemy, The Man in Black. He discovers an abandoned town and it is there where he encounters a trap set by The Man in Black.",12m,Walking Ghost
305,--,--,Jean-Patrick BenesAllan Mauduit,Jean-Patrick BenesAllan Mauduit,"A skinny boy, a tasty shepherdess, an hungry ogre and some bloody mushrooms.",9m,Chair fraîche
306,7.6,--,Jaime Mengual,Christine Stoeber,A young woman returns home to find an intruder in her apartment.,11m,An Unexplained Murder
307,6.2,--,Benni DiezMarinko Spahic,Benni DiezMarinko Spahic,A drug deal spirals out of control in a subterranean night club filled with unnameable evils.,20m,Kingz
308,--,--,James Krenzke,James Krenzke,"Homeless, destitute and forgotten, War Veteran and unwitting father Joseph Gray is plucked from the streets by a wealthy and shady Japanese business man. As repayment for his new master's kindness, Joseph must take care of the dirty work that results from his new masters criminal enterprises. For Joseph, killing was always easy, until he is confronted with the realiza... Read all",24m,The Shadow Man
309,--,--,Kanithea Powell,Kanithea Powell,Add a plot,--,Two Minutes Two Seconds
310,8.7,--,Velvet Andrews-Smith,Velvet Andrews-Smith,"There are thieves among us... and then there are expert thieves. Blake Turner lives life on his own terms. He's talented, daring and rich. Little does anyone know he's actually a serial bank robber. He likes the adrenaline rush from pulling off high-tech bank heists. He also loves the lifestyle that comes along with the money. Rich Summerfield plays life by the rules.... Read all",19m,Two-Eleven
