,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
36,7.5,--,Shohei Tôjô,Noboru Sugimura,Dairanger must save children who are transforming into playing cards by the powers of the Duke of Cards.,--,Gosei Sentai Dairanger: The Movie
37,--,--,Mitsuo Hashimoto,Aya MatsuiAkira Toriyama,"Unable to entertain their princess Puruah, the kingdom of Yapaya requests professor Senbei to create a comedic robot capable of making her laugh for the first time in her life.",--,Dr. Slump Arale-chan! With Love from the Penguin's Village
38,7.9,--,Bruce CampbellEmbeth DavidtzBridget Fonda,--,,--,The Making of 'Army of Darkness'
39,6.6,--,Aki AleongLinda Lee CadwellJohn Cheung,--,Add a plot,--,The Making of 'Dragon: The Bruce Lee Story'
40,--,--,Philip Cruz,Stephen J. HaddenPhilip Cruz,An old-fashioned brawl breaks out at a condemned movie theater in a modest Florida town.,4m,You Bastard!
41,6.6,--,Yukio Kaizawa,Aya MatsuiAkira Toriyama,Add a plot,41m,Dr. Slump & Arale-chan Ncha! Penguin Mura wa Hare no chi Hare
42,7.4,--,Junji Nishimura,Rumiko TakahashiRyôta Yamaguchi,Kuno gets his hands on the Legendary Phoenix egg so he can get the Sword of the Phoenix. But then it hatches on his head and set's it's sights on Ranma and thinks it is his enemy.,31m,Ranma ½: Chô-musabetsu kessen! Ranma team VS densetsu no hôô
43,--,--,Makoto Tsuji,Junichi Miyashita,Add a plot,20m,Burû suwatto: Kikku ofu! Nyû hîrô
44,7.6,--,Jorge Simonet,Jorge Simonet,Sometimes the controls get out of our control. Even in an unexpected rural adventure.,6m,Los mandos no responden
45,--,--,Karl Kimbrough,Robert C. HandyKarl Kimbrough,"A hapless traveler picks up a hiker and both get trapped on a farmer's land, where they quickly are running for their lives to escape the farmer's demise. The Farmer uses humans as live scarecrows.",11m,The Farmer
46,--,--,Hulon E. Crayton II,Hulon E. Crayton II,"When things go awry, a hero maybe near. For Fred, the world's most unluckiest fellow, he gets what he prayed for. Saviors from another dimension swoop in in the nick of time; then reverse the destructive damage caused by the evil empire.",--,Clay Heros
47,6.9,--,Shohei Tôjô,Noboru Sugimura,"When a Yokai targets a house to add to his display of a shrunken city, the Kakurangers attempt to protect it and the two kids who live there.",--,Ninja Sentai Kakuranger: The Movie
48,--,--,Tomofumi Nishida,Chiharu KakuNami SaitoMakiko Tsujimoto,,40m,Mahou shoujo Meruru
49,--,--,Tim ScanlonGeorge SimonelliLink Kiser,--,An underground fighting ring gets deadly when young men are getting killed by the champion. The law brings in Mike Tanner to infiltrate the operation to apprehend the killer.,--,Hands for Hire
50,--,--,Mike Virgil,John CoxKen FennShaun Ignacio,"Four wise cracking guy's from New York are on a late night drive, when suddenly they get abducted by hostile aliens from out of this world and have no other choice, but to fight for their lives - and do a really horrible job at it.",35m,Everything Went Wrong
51,4.9,--,Mitsuo Hashimoto,Akira ToriyamaTakao KoyamaAya Matsui,Arale and her family visit the Underwater Kingdom after she saves a baby shark.,25m,Dr. Slump and Arale-chan: Hoyoyo!! Follow the Rescued Shark...
52,--,--,Mitsuo Hashimoto,Akira ToriyamaAya Matsui,Add a plot,20m,Dr. Slump & Arale-chan Ncha! Wakuwaku Hot Natsu Yasumi
53,9.4,56%,Jason Impey,Jason Impey,Split Second is a homage/spoof/fan movie made of the 1992 film named the same - one of Jason Impey's favourite B movies as he grew up.,10m,Split Second
54,--,--,Oscar Doviso,J.A. BlancoOscar Doviso,Add a plot,5m,Cuenta atrás
55,--,--,Joe Miyano,Joe Miyano,A struggling actor/martial artist hit-man faces his own tragic karma when his murderous nightmares intersect with his real-world jealousy.,18m,Full Circle
56,--,--,Philip Cruz,Philip Cruz,Two kung-fu warriors battle for the ultimate prize- the key to a virgin princess's chastity belt.,4m,"Two Guys, a Girl & Some Kung Fu"
57,--,--,Michael Kallio,Michael Kallio,Add a plot,8m,Curse of the Monkey
58,--,--,Jerzy Kular,--,"You're part of a scientific team sent to explore a new island that has baffled environmentalists around the world. Upon arriving you discover that it's thriving with prehistoric plant life, dark caves, rivers of lava and dinosaurs.",5m,Dino Island
59,--,--,Rahn Breedlove,Rahn BreedloveGeorge A. Osborne,,5m,Cold Blood
60,--,--,Scott BarrettMark Glover Masterson,Mark Glover Masterson,"In this near-future wasteland, Max battles The Consumer and his group of anti-advert punks.",--,Ad Max
61,7.3,--,Chris Bailey,Tim Hauser,"In an attempt to convince Minnie that he hasn't forgotten to buy her an anniversary present, Mickey Mouse ends up promising to take her to Hawaii. Funds being short, he applies for a job as lab assistant to the sinister Dr. Frankenollie, who happens to be searching for a donor to provide his monstrous creation with a brain...",7m,Runaway Brain
62,6.0,--,Stuart Gordon,Jeffrey Combs,Add a plot,4m,Aliens: Ride at the Speed of Fright
63,--,--,Mark Kamps,Anthony MontesGeorge Russo,"Every Sunday morning Sonny and Leo, two amiable gangsters meet for breakfast to discuss the week's developments and any new hits, er, jobs that come up. But this Sunday morning is a little different. Being served with breakfast is a surprise that Sonny tries to explain but Leo can't believe. Is Sonny's wife at church or her head cooling in the freezer? We may never k... Read all",--,Last Sunday Morning
64,--,--,Harlan Alston,Harlan Alston,"While on a routine chase of a ruthless gang of petty shoplifters, Jimmy Cliche watches as his partner is gunned down by the gang. He chooses from that moment on to avenge his partner's death and bring the gang to Justice.",12m,The Adventures of Jimmy Cliche
65,7.3,--,Jorge Simonet,Jorge Simonet,"Trailers are made for movies. Here is a trailer full of action, drugs, rock'n'roll... and no movie.",1m,Trailer
