,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
24,5.7,60%,Malcolm Mowbray,Sarah Bird,Cartoonist Gus has survived cancer treatment and now his romance novelist sister tries to find him a woman and guide him. Will they succeed?,1h 43m,Don't Tell Her It's Me
25,6.9,--,Helmut BergerNina Grosse,Helmut Berger,,1h 30m,Nie im Leben
26,6.8,71%,Hendel ButoyMike Gabriel,Jim CoxKarey KirkpatrickByron Simpson,R.A.S. agents Miss Bianca and Bernard race to Australia to save a little boy and a rare golden eagle from a murderous poacher.,1h 17m,The Rescuers Down Under
27,6.7,83%,Mike Nichols,Carrie Fisher,A substance-addicted actress tries to look on the bright side even as she is forced to move back in with her mother to avoid unemployment.,1h 41m,Postcards from the Edge
28,4.8,0%,Bob Logan,Bob Logan,"Parody of The Exorcist (1973), with Linda Blair once again possessed by Satan, and Leslie Nielsen as the exorcist.",1h 20m,Repossessed
29,6.8,84%,Howard FranklinBill Murray,Jay CronleyHoward Franklin,"Three thieves successfully rob a New York City bank, but making the escape from the city proves to be almost impossible.",1h 29m,Quick Change
30,7.0,--,Arvo Kruusement,Oskar LutsMats Traat,"In the follow-up of ""Kevade"" and ""Suvi"" the same characters have reached their middle-age. Everybody are living quiet family-life but Kiir the tailor who one more time decides to become a farmer and get married.",1h 25m,Sügis
31,4.1,33%,Malcolm Marmorstein,Malcolm Marmorstein,"A reporter investigating a drug dealing ring is murdered. Brought back to life by the voodoo spell of a cleaning woman, he goes after his killers.",1h 34m,Dead Men Don't Die
32,6.5,94%,Andrew Bergman,Andrew Bergman,"An N.Y.C. film school student accepts a job with a local mobster who resembles a famous cinema godfather and who takes the young man under his wing, after demanding total loyalty.",1h 42m,The Freshman
33,5.8,--,Mort Ransen,Mort Ransen,"Following painful divorce, Mel, high school teacher, tries to regain happiness in his life by returning to good old days of his youth. He rents a house in his old neighbourhood and brings Harvey, his old and half-paralyzed father with him. Their landlady is Jackie, young and attractive woman who wants to be a singer.",1h 40m,Falling Over Backwards
34,5.4,--,Maurice Phillips,Maurice PhillipsA.J. TippingJames Whaley,"A wife surprises her cop husband in bed with her kid sister. In the ensuing struggle, the wife is accidentally killed. Can they keep it a secret?",1h 41m,Over Her Dead Body
35,5.4,25%,Carl Reiner,Martha Goldhirsh,A frustrated woman's life gets even more frustrating once she gets into an affair with a man who suffers a fatal heart attack after their fling.,1h 27m,Sibling Rivalry
36,7.2,79%,Allan Moyle,Allan Moyle,Mark runs a pirate radio station and causes an uproar when he speaks his mind and enthralls fellow teens.,1h 42m,Pump Up the Volume
37,6.3,59%,Peter Weir,Peter Weir,"A man wanting to stay in the US enters into a marriage of convenience, but it turns into more than that.",1h 47m,Green Card
38,--,--,--,--,--,--,--
