,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
27,"7,2",--,Phil Joanou,Dennis McIntyre,Un policía de Nueva York es reclutado para regresar a su ciudad natal e infiltrarse en una mafia dirigida por el hermano de su mejor amigo.,2h 14min,El clan de los irlandeses
28,"7,9",--,Tim Burton,Tim BurtonCaroline Thompson,"Un hombre artificial, construido de forma incompleta y con unas tijeras por manos, lleva una vida solitaria. Un día, una señora de los suburbios le conoce y le introduce en su mundo.",1h 45min,Eduardo Manostijeras
29,"6,3",--,Peter Weir,Peter Weir,Un hombre que quiere permanecer en Estados Unidos acepta un matrimonio de conveniencia que resultará ser mucho más.,1h 47min,Matrimonio de conveniencia
30,"6,1",--,Fred Schepisi,John le CarréTom Stoppard,En servicio secreto británico pide la colaboración de un editor escocés en Rusia que tiene contacto con un físico soviético.,2h 3min,La casa Rusia
31,"5,9",85%,Bettina Wilhelm,Georgette DeeBettina Wilhelm,Añade un argumento en tu idioma,1h 16min,All of Me
32,"6,7",--,Richard Benjamin,Patty DannJune Roberts,"Una madre soltera poco convencional se traslada con sus dos hijas a un pequeño pueblo de Massachusetts en 1963, donde una serie de acontecimientos y relaciones desafían y refuerzan sus lazos familiares.",1h 50min,Sirenas
33,"6,6",71%,Woody Allen,Woody Allen,Una ama de casa malcriada reevalúa su vida después de visitar a un curandero de Chinatown.,1h 46min,Alice
34,"7,2",--,Patrice Leconte,Patrick CauvinPatrice Leconte,"Antoine siempre ha estado fascinado con el toque delicado de las peluqueras, el perfume seductor y la figura de una mujer con un busto opulento, él cumple su sueño de un amor perfecto e idealizado.",1h 22min,El marido de la peluquera
35,"6,7",--,Alan Parker,Alan Parker,The passionate romance between an Irish-American man and a Japanese-American woman is threatened when the Pearl Harbor attacks happen and the woman is forced into a prison camp because of her ethnicity.,2h 18min,Bienvenido al paraíso
36,"5,6",--,Brian De Palma,Michael CristoferTom Wolfe,"Después de que su amante atropella a un joven adolescente, un pez gordo de Wall Street ve cómo su vida se desmorona en el centro de atención y atrae el interés de un periodista decadente.",2h 5min,La hoguera de las vanidades
37,"4,6",--,Amy Heckerling,Amy HeckerlingNeal Israel,"Un nuevo bebé está en camino, y es una niña. Envuelto junto con el conflicto estándar entre madre y padre, Mikey se involucra en un poco de rivalidad entre hermanos con su nueva hermana.",1h 21min,Mira quién habla también
38,"5,5",--,Emile Ardolino,Coline SerreauSara ParriottJosann McGibbon,"Secuela de 3 Men and a Baby (1987), Mary comienza la escuela. Su madre ahora vive en Nueva York con su padre biológico y 2 padres honorarios, que todavía son actores, arquitectos y dibujantes. El novio inglés de mamá le pide matrimonio.",1h 44min,Tres hombres y una pequeña dama
39,"6,1",57%,Robert Shaye,William Kotzwinkle,A reminiscence of youth in the 1950's.,1h 22min,Book of Love
40,"7,2",--,Armondo Linus Acosta,William ShakespeareArmondo Linus AcostaVictor Spinetti,"Añade un argumento en tu idioma
An eccentric bag lady rescues the stray cats of Venice and puts them on a boat to set sail for the New World.",2h,Romeo.Juliet
