,Tipo,Título,ID,Mes Estreno,Año Estreno
0,Movie,Spy Story,tt0075259,3,1990
1,Movie,Astonished,tt0092589,,1990
2,Movie,Demonia,tt0094997,10,1990
3,Movie,Still Life,tt0096177,11,1990
4,Movie,In the Cold of the Night,tt0097573,12,1990
5,Movie,The Platinum Triangle,tt0098100,3,1990
6,Movie,Abatjour 2,tt0096749,,1990
7,Movie,La leyenda de una máscara,tt0097738,2,1991
8,Movie,Another 48 Hrs.,tt0099044,8,1990
9,Movie,Ljeto za sjecanje,tt0097765,5,1990
10,Movie,Le trésor des îles chiennes,tt0098531,4,1991
11,Movie,Demonstone,tt0097184,2,1990
12,Movie,"Out of Sight, Out of Mind",tt0098043,6,1990
13,Movie,Meteo,tt0097875,2,1990
14,Movie,The Missing Reel,tt0097894,,1990
15,Movie,Overexposed,tt0100317,3,1990
16,Movie,Dr. M,tt0099445,5,1990
17,Movie,Powrót wilczycy,tt0100399,10,1990
18,Movie,Sher Mountain Killings Mystery,tt0100596,12,1990
19,Movie,Gumapang ka sa lusak,tt0099717,5,1990
20,Movie,False Identity,tt0099541,6,1990
21,Movie,Dead Sleep,tt0099376,,1990
22,Movie,Fear,tt0099557,3,1991
23,Movie,Back Stab,tt0099085,10,1990
24,Movie,The Dark Side of the Moon,tt0099364,5,1990
25,Movie,Reversal of Fortune,tt0100486,2,1991
26,Movie,The Rift,tt0099701,7,1990
27,Movie,Presumed Innocent,tt0100404,10,1990
28,Movie,Kodeks molchaniya,tt0099946,7,1991
29,Movie,Brain Dead,tt0099173,1,1990
30,Movie,The Adventures of Ford Fairlane,tt0098987,11,1990
31,Movie,Love at Large,tt0100065,3,1990
32,Movie,Bes v rebro,tt0099123,12,1990
33,Movie,Deep Sleep,tt0099394,5,1990
34,Movie,Al Gatun,tt0099007,8,1990
35,Movie,Living to Die,tt0100039,12,1990
36,Movie,Lovushka dlya odinokogo muzhchiny,tt0100069,12,1990
37,Movie,The Guardian,tt0099710,4,1990
38,Movie,Jacob's Ladder,tt0099871,2,1991
