,Tipo,Título,ID,Mes Estreno,Año Estreno
0,Movie,Jahrgang 45,tt0059325,10,1990
1,Movie,Sailors Don't Cry,tt0096025,6,1990
2,Movie,"Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi",tt0097062,1,1990
3,Movie,Adultery,tt0096763,,1990
4,Movie,Nobody's Perfect,tt0097994,6,1991
5,Movie,Gat seng gung ziu,tt0097619,1,1990
6,Movie,Abatjour 2,tt0096749,,1990
7,Movie,Conte de printemps,tt0097106,2,1991
8,Movie,Catchfire,tt0096875,4,1990
9,Movie,Fuflo,tt0097399,10,1990
10,Movie,"Chastnyy detektiv, ili operatsiya 'Kooperatsiya'",tt0097049,11,1990
11,Movie,La fête des pères,tt0097405,3,1990
12,Movie,L'amour,tt0099034,7,1990
13,Movie,Mathilukal,tt0097851,5,1990
14,Movie,Men in Love,tt0097863,7,1990
15,Movie,High Finance Woman,tt0097505,,1990
16,Movie,Milou en mai,tt0097884,1,1990
17,Movie,Breakfast in Bed,tt0099178,,
18,Movie,The Ambulance,tt0099026,10,1990
19,Movie,Pozegnanie jesieni,tt0100400,9,1990
20,Movie,Gorzka milosc,tt0099688,5,1990
21,Movie,Archangel,tt0099053,9,1990
22,Movie,"Don Juan, mi querido fantasma",tt0099449,8,1990
23,Movie,Funny About Love,tt0099623,9,1990
24,Movie,Caídos del cielo,tt0099234,3,1991
25,Movie,The Crossing,tt0099323,10,1990
26,Movie,Naked Tango,tt0100222,9,1991
27,Movie,Don't Tell Her It's Me,tt0099450,9,1991
28,Movie,Nuit d'été en ville,tt0100277,8,1991
29,Movie,Alcune signore per bene,tt0099011,,
30,Movie,La désenchantée,tt0099406,10,1990
31,Movie,La discrète,tt0099436,11,1990
32,Movie,Papashka i mem,tt0100329,9,1995
33,Movie,Porno,tt0100388,1,1990
34,Movie,Pummarò,tt0100435,9,1990
35,Movie,Punch the Clock,tt0100437,,1990
36,Movie,Peacemaker,tt0100343,2,1991
37,Movie,Pretty Woman,tt0100405,7,1990
38,Movie,San ren xin shi jie,tt0100545,1,1990
39,Movie,La putain du roi,tt0100440,11,1990
40,Movie,Romeo.Juliet,tt0100512,6,1992
41,Movie,Chicago Joe and the Showgirl,tt0099250,3,1990
42,Movie,Revenge,tt0100485,9,1990
43,Movie,Il sole anche di notte,tt0100650,5,1990
44,Movie,Dick Tracy,tt0099422,10,1990
45,Movie,Räpsy & Dolly eli Pariisi odottaa,tt0100534,2,1990
46,Movie,Verbotene Liebe,tt0098588,4,1990
47,Movie,Dil,tt0099429,6,1990
48,Movie,Sailaab,tt0100539,8,1990
49,Movie,Stanley & Iris,tt0100680,5,1990
50,Movie,Saharawe Sihinaya,tt0100538,,
51,Movie,State of Grace,tt0100685,6,1991
52,Movie,Après après-demain,tt0099051,5,1990
53,Movie,Edward Scissorhands,tt0099487,7,1991
54,Movie,"Elliot Fauman, Ph.D.",tt0099495,3,1990
55,Movie,De gulle minnaar,tt0099715,7,1990
56,Movie,La fille des collines,tt0099569,3,1990
57,Movie,A Girl to Kill For,tt0099663,,1990
58,Movie,Fate,tt0099556,,
59,Movie,Døden på Oslo S,tt0099479,8,1990
60,Movie,Le château de ma mère,tt0099266,7,1992
61,Movie,Dream Trap,tt0099463,5,1990
62,Movie,Le bal du gouverneur,tt0099098,2,1990
63,Movie,Porttikielto taivaaseen,tt0100390,3,1990
64,Movie,Sapore di donna,tt0100548,,1990
65,Movie,Stella,tt0100691,2,1990
66,Movie,Backstreet Dreams,tt0099090,8,1990
67,Movie,Instant Karma,tt0099849,4,1990
68,Movie,Ghost,tt0099653,10,1990
69,Movie,Pervyy etazh,tt0100355,12,1990
70,Movie,Green Card,tt0099699,4,1991
71,Movie,Side Out,tt0100613,3,1990
72,Movie,Springflod,tt0100674,10,1990
73,Movie,Pokhorony Stalina,tt0100383,,1990
74,Movie,Sien lui yau wan II: Yan gaan dou,tt0100625,7,1990
75,Movie,Neurotic Cabaret,tt0099681,4,1990
76,Movie,The Russia House,tt0100530,2,1991
77,Movie,Gun gun hong chen,tt0099719,11,1990
78,Movie,Little Vegas,tt0100036,11,1990
79,Movie,All of Me,tt0099013,4,1991
80,Movie,Baaghi: A Rebel for Love,tt0099080,12,1990
81,Movie,Wendy Cracked a Walnut,tt0098959,8,1990
82,Movie,La Baule-les-Pins,tt0099200,2,1990
83,Movie,Boom Boom,tt0099167,6,1990
84,Movie,Mermaids,tt0100140,6,1991
85,Movie,Alice,tt0099012,3,1991
86,Movie,Le mari de la coiffeuse,tt0100112,1,1991
87,Movie,Butterbrot,tt0099195,1,1990
88,Movie,Love at Large,tt0100065,3,1990
89,Movie,Alligator Eyes,tt0099017,9,1990
90,Movie,Come See the Paradise,tt0099291,1,1991
91,Movie,Berdel,tt0099119,,1990
92,Movie,The Bonfire of the Vanities,tt0099165,5,1991
93,Movie,Cyrano de Bergerac,tt0099334,6,1990
94,Movie,Lung Fung cha lau,tt0100045,4,1990
95,Movie,Oltre l'oceano,tt0099130,5,1990
96,Movie,The Handmaid's Tale,tt0099731,2,1990
97,Movie,Sawako no koi,tt0100066,10,1990
98,Movie,La messe en si mineur,tt0100141,1,1990
99,Movie,All the Vermeers in New York,tt0099014,1,2020
100,Movie,1871,tt0098963,2,1997
101,Movie,Lua de Cristal,tt0100070,6,1990
102,Movie,Bataashi kingyo,tt0099110,6,1990
103,Movie,Biologie,tt0099140,9,1990
104,Movie,Look Who's Talking Too,tt0100050,4,1991
105,Movie,Maha-Sangram,tt0100092,1,1990
106,Movie,Luba,tt0100072,9,1990
107,Movie,Lyubov nemolodogo cheloveka,tt0100080,,
108,Movie,Metropolitan,tt0100142,8,1990
109,Movie,3 Men and a Little Lady,tt0098966,3,1991
